Date,Stock,Direction,OR High,OR Low,OR%,Entry,Entry Time,SL,Target,Exit,Exit Reason,P&L
2026-02-16,PERSISTENT,SHORT,5536.5,5455.5,1.48,5455.5,09:48:00,5536.5,5212.5,5536.5,SL,-3026
2026-02-16,WIPRO,SHORT,216.91,213.8,1.45,213.8,09:46:00,216.91,204.47,213.31,EOD,359
2026-02-16,CANBK,LONG,142.19,140.15,1.45,142.19,09:36:00,140.15,148.31,145.81,EOD,4992
2026-02-17,WIPRO,LONG,215.5,212.63,1.35,215.5,09:40:00,212.63,224.11,215.68,EOD,67
2026-02-17,ICICIBANK,SHORT,1413.6,1394.6,1.35,1394.6,09:36:00,1413.6,1337.6,1405.5,EOD,-1651
2026-02-17,INDUSINDBK,LONG,940.75,928.2,1.35,940.75,09:37:00,928.2,978.4,944.7,EOD,740
2026-02-18,HCLTECH,SHORT,1483.2,1461.9,1.44,1461.9,09:55:00,1483.2,1398.0,1467.0,EOD,-795
2026-02-18,HINDALCO,LONG,903.8,891.5,1.38,903.8,09:36:00,891.5,940.7,891.5,SL,-2822
2026-02-18,ADANIGREEN,SHORT,1019.95,1006.0,1.37,1006.0,09:36:00,1019.95,964.15,1000.95,EOD,909
2026-02-19,NATIONALUM,SHORT,351.45,346.4,1.45,346.4,09:36:00,351.45,331.25,340.0,EOD,3665
2026-02-19,SUNTECK,SHORT,404.05,398.3,1.44,398.3,09:38:00,404.05,381.05,404.05,SL,-2946
2026-02-19,PERSISTENT,SHORT,5597.0,5520.5,1.38,5520.5,09:36:00,5597.0,5291.0,5291.0,TGT,8575
2026-02-20,INDIANB,LONG,937.5,924.0,1.46,937.5,09:36:00,924.0,978.0,947.25,EOD,1980
2026-02-20,GAIL,LONG,168.19,165.8,1.44,168.19,09:36:00,165.8,175.36,168.43,EOD,185
2026-02-20,BANKBARODA,LONG,306.6,302.55,1.33,306.6,09:36:00,302.55,318.75,309.4,EOD,1726
2026-02-23,MPHASIS,SHORT,2360.5,2325.5,1.49,2325.5,09:48:00,2360.5,2220.5,2314.0,EOD,894
2026-02-23,PNB,LONG,132.23,130.3,1.48,132.23,09:39:00,130.3,138.02,130.3,SL,-3019
2026-02-23,BANKINDIA,LONG,174.38,171.83,1.48,174.38,09:37:00,171.83,182.03,174.3,EOD,-192
2026-02-24,INFY,SHORT,1303.6,1284.2,1.49,1284.2,09:36:00,1303.6,1226.0,1276.3,EOD,1138
2026-02-24,GODREJPROP,SHORT,1831.2,1805.1,1.43,1805.1,09:36:00,1831.2,1726.8,1769.0,EOD,3981
2026-02-24,EICHERMOT,LONG,8025.0,7911.5,1.42,8025.0,09:41:00,7911.5,8365.5,7911.5,SL,-2929
2026-02-25,MAHABANK,LONG,72.76,71.68,1.49,72.76,09:48:00,71.68,76.0,74.26,EOD,4023
2026-02-25,BRIGADE,SHORT,735.45,724.55,1.49,724.55,09:36:00,735.45,691.85,715.15,EOD,2529
2026-02-25,MAHLIFE,LONG,373.5,368.25,1.43,373.5,09:58:00,368.25,389.25,368.25,SL,-2911
2026-02-26,BRIGADE,LONG,728.8,718.05,1.5,728.8,09:45:00,718.05,761.05,718.05,SL,-3050
2026-02-26,CENTRALBK,SHORT,40.92,40.35,1.41,40.35,09:45:00,40.92,38.64,40.44,EOD,-545
2026-02-26,MPHASIS,LONG,2293.9,2262.5,1.38,2293.9,09:37:00,2262.5,2388.1,2262.5,SL,-2838
2026-02-27,BANKINDIA,SHORT,178.36,175.81,1.44,175.81,09:58:00,178.36,168.16,176.25,EOD,-599
2026-02-27,GODREJCP,SHORT,1238.9,1221.3,1.42,1221.3,09:36:00,1238.9,1168.5,1220.1,EOD,97
2026-02-27,HCLTECH,SHORT,1404.8,1385.0,1.42,1385.0,09:36:00,1404.8,1325.6,1390.2,EOD,-848
2026-03-02,OBEROIRLTY,LONG,1500.6,1481.9,1.26,1500.6,10:00:00,1481.9,1556.7,1481.9,SL,-2592
2026-03-02,AXISBANK,SHORT,1384.7,1368.1,1.21,1368.1,09:41:00,1384.7,1318.3,1372.6,EOD,-756
2026-03-02,INFY,LONG,1296.9,1282.0,1.15,1296.9,09:36:00,1282.0,1341.6,1282.0,SL,-2398
2026-03-04,INDIANB,SHORT,961.35,947.1,1.49,947.1,09:36:00,961.35,904.35,936.9,EOD,2077
2026-03-04,VBL,SHORT,435.9,429.5,1.48,429.5,09:40:00,435.9,410.3,429.2,EOD,40
2026-03-04,ADANIGREEN,SHORT,882.8,870.1,1.44,870.1,09:36:00,882.8,832.0,871.15,EOD,-341
2026-03-05,TCS,SHORT,2609.5,2571.0,1.48,2571.0,09:36:00,2609.5,2455.5,2573.3,EOD,-279
2026-03-05,TATASTEEL,LONG,200.5,197.63,1.45,200.5,09:55:00,197.63,209.11,200.2,EOD,-399
2026-03-05,IDFCFIRSTB,LONG,71.13,70.11,1.44,71.13,09:47:00,70.11,74.19,70.11,SL,-2968
2026-03-06,BIOCON,LONG,391.6,385.8,1.5,391.6,09:44:00,385.8,409.0,391.05,EOD,-381
2026-03-06,HINDALCO,LONG,956.7,943.15,1.42,956.7,09:50:00,943.15,997.35,957.75,EOD,120
2026-03-06,BHARATFORG,LONG,1904.4,1879.9,1.29,1904.4,09:36:00,1879.9,1977.9,1925.1,EOD,2074
2026-03-09,DABUR,SHORT,473.05,466.1,1.47,466.1,09:41:00,473.05,445.25,467.05,EOD,-507
2026-03-09,BRITANNIA,SHORT,5932.5,5852.0,1.36,5852.0,09:36:00,5932.5,5610.5,5894.0,EOD,-1525
2026-03-09,MARICO,SHORT,783.05,772.9,1.3,772.9,09:42:00,783.05,742.45,778.6,EOD,-1564
2026-03-10,BANKINDIA,SHORT,155.59,153.3,1.49,153.3,09:36:00,155.59,146.43,155.59,SL,-3044
2026-03-10,ADANIENSOL,SHORT,1001.3,986.9,1.45,986.9,09:36:00,1001.3,943.7,1001.3,SL,-2976
2026-03-10,SAIL,SHORT,153.45,151.27,1.43,151.27,09:36:00,153.45,144.73,149.74,EOD,1944
2026-03-11,TATASTEEL,LONG,198.66,195.74,1.48,198.66,09:36:00,195.74,207.42,195.74,SL,-3040
2026-03-11,DABUR,SHORT,485.0,477.85,1.47,477.85,09:36:00,485.0,456.4,471.55,EOD,2572
2026-03-11,NTPC,LONG,382.0,376.45,1.47,382.0,09:36:00,376.45,398.65,380.1,EOD,-1095
2026-03-12,MARICO,SHORT,762.45,751.2,1.48,751.2,09:36:00,762.45,717.45,762.45,SL,-3051
2026-03-12,ADANIGREEN,LONG,849.6,837.4,1.44,849.6,09:52:00,837.4,886.2,866.7,EOD,3925
2026-03-12,ICICIBANK,LONG,1276.7,1258.3,1.44,1276.7,10:00:00,1258.3,1331.9,1264.7,EOD,-1980
2026-03-13,PNB,SHORT,116.27,114.55,1.48,114.55,09:41:00,116.27,109.39,111.81,EOD,4801
2026-03-13,POWERGRID,SHORT,309.5,305.05,1.44,305.05,09:42:00,309.5,291.7,300.85,EOD,2692
2026-03-13,NESTLEIND,LONG,1229.2,1212.0,1.41,1229.2,09:36:00,1212.0,1280.8,1212.0,SL,-2899
2026-03-16,CANBK,LONG,134.59,132.58,1.49,134.59,09:36:00,132.58,140.62,132.58,SL,-3087
2026-03-16,MARUTI,LONG,12654.0,12469.0,1.48,12654.0,09:45:00,12469.0,13209.0,12469.0,SL,-3024
2026-03-16,ADANIENT,LONG,1985.0,1955.9,1.48,1985.0,09:45:00,1955.9,2072.3,1955.9,SL,-3032
2026-03-17,BANKINDIA,SHORT,151.66,149.4,1.5,149.4,09:36:00,151.66,142.62,151.66,SL,-3080
2026-03-17,CANBK,SHORT,136.05,134.05,1.48,134.05,09:36:00,136.05,128.05,136.05,SL,-3040
2026-03-17,SAIL,LONG,147.18,145.09,1.44,147.18,09:59:00,145.09,153.45,153.45,TGT,8420
2026-03-18,BIOCON,LONG,382.5,377.0,1.44,382.5,09:36:00,377.0,399.0,382.7,EOD,5
2026-03-18,DLF,LONG,553.85,546.0,1.43,553.85,09:50:00,546.0,577.4,563.5,EOD,3385
2026-03-18,ADANIENSOL,LONG,1013.9,1000.0,1.39,1013.9,09:36:00,1000.0,1055.6,1037.0,EOD,4457
2026-03-19,TECHM,SHORT,1379.3,1359.0,1.49,1359.0,09:47:00,1379.3,1298.1,1332.0,EOD,3954
2026-03-19,JINDALSTEL,SHORT,1162.7,1147.0,1.35,1147.0,09:39:00,1162.7,1099.9,1136.2,EOD,1801
2026-03-19,ADANIGREEN,SHORT,882.05,870.3,1.34,870.3,09:59:00,882.05,835.05,852.75,EOD,4016
2026-03-20,GODREJPROP,LONG,1586.0,1562.7,1.49,1586.0,09:36:00,1562.7,1655.9,1562.7,SL,-3038
2026-03-20,NESTLEIND,SHORT,1204.0,1186.7,1.44,1186.7,09:43:00,1204.0,1134.8,1194.1,EOD,-1339
2026-03-20,MPHASIS,SHORT,2109.7,2080.2,1.41,2080.2,09:36:00,2109.7,1991.7,2089.2,EOD,-962
2026-03-23,AUROPHARMA,SHORT,1299.0,1280.2,1.46,1280.2,09:45:00,1299.0,1223.8,1280.6,EOD,-162
2026-03-23,FEDERALBNK,SHORT,263.3,259.45,1.46,259.45,09:47:00,263.3,247.9,254.0,EOD,4191
2026-03-23,DRREDDY,SHORT,1293.0,1274.2,1.45,1274.2,09:40:00,1293.0,1217.8,1255.5,EOD,2879
2026-03-24,PNB,SHORT,109.0,107.4,1.47,107.4,09:46:00,109.0,102.6,107.02,EOD,610
2026-03-24,ONGC,LONG,270.8,266.85,1.47,270.8,09:37:00,266.85,282.65,267.85,EOD,-2279
