Date,Stock,Gap%,Open,Signal,Entry,SL,Target,Exit,Gross P&L,Charges,Net P&L,Result,Status
2026-03-13,HDFCBANK,-1.44,820.0,SHORT,815.9,819.98,803.66,819.2,-3538,358,-3896,EOD EXIT,CLOSED
2026-03-16,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-03-17,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-03-18,BAJFINANCE,2.41,889.55,LONG,894.0,889.53,907.41,,0,0,0,NO ENTRY,CLOSED
2026-03-19,HDFCBANK,-8.09,773.9,SHORT,770.03,773.88,758.48,,0,0,0,NO ENTRY,CLOSED
2026-03-20,HCLTECH,1.69,1334.0,LONG,1340.67,1333.97,1360.78,1345.5,3149,358,2791,EOD EXIT,CLOSED
2026-03-23,HDFCBANK,-2.18,764.0,SHORT,760.18,763.98,748.78,751.05,10509,358,10151,EOD EXIT,CLOSED
2026-03-24,TITAN,3.37,3966.9,LONG,3986.73,3966.8,4046.53,,0,0,0,NO ENTRY,CLOSED
2026-03-25,HCLTECH,-1.55,1352.0,SHORT,1345.24,1351.97,1325.06,,0,0,0,NO ENTRY,CLOSED
2026-03-27,LT,-1.12,3615.1,SHORT,3597.02,3615.01,3543.06,3582.9,3431,358,3073,EOD EXIT,CLOSED
2026-03-30,AXISBANK,-1.87,1182.7,SHORT,1176.79,1182.67,1159.14,1159.14,13114,358,12756,TARGET,CLOSED
2026-04-01,MARUTI,3.85,12780.0,LONG,12843.9,12779.68,13036.56,,0,0,0,NO ENTRY,CLOSED
2026-04-02,SUNPHARMA,-5.31,1636.8,SHORT,1628.62,1636.76,1604.19,,0,0,0,NO ENTRY,CLOSED
2026-04-06,TITAN,1.15,4127.0,LONG,4147.63,4126.89,4209.84,4209.84,13064,358,12706,TARGET,CLOSED
2026-04-07,LT,-1.19,3681.8,SHORT,3663.39,3681.71,3608.44,,0,0,0,NO ENTRY,CLOSED
2026-04-08,LT,5.96,3944.0,LONG,3963.72,3943.9,4023.18,4023.18,13081,358,12723,TARGET,CLOSED
2026-04-09,BAJFINANCE,-1.78,898.75,SHORT,894.26,898.73,880.85,,0,0,0,NO ENTRY,CLOSED
2026-04-10,SUNPHARMA,-2.4,1675.9,SHORT,1667.52,1675.86,1642.51,1642.51,13105,358,12747,TARGET,CLOSED
2026-04-13,ADANIENT,-4.15,2000.2,SHORT,1990.2,2000.15,1960.35,,0,0,0,NO ENTRY,CLOSED
2026-04-15,BAJFINANCE,2.97,924.2,LONG,928.82,924.18,942.75,,0,0,0,NO ENTRY,CLOSED
2026-04-16,ADANIENT,1.63,2174.8,LONG,2185.67,2174.74,2218.46,2174.74,-4372,358,-4730,SL HIT,CLOSED
2026-04-17,ADANIENT,1.55,2237.9,LONG,2249.09,2237.84,2282.83,,0,0,0,NO ENTRY,CLOSED
2026-04-20,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-04-21,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-04-22,HCLTECH,-7.26,1336.6,SHORT,1329.92,1336.57,1309.97,1309.97,13107,358,12749,TARGET,CLOSED
2026-04-23,ICICIBANK,-1.31,1349.7,SHORT,1342.95,1349.66,1322.81,,0,0,0,NO ENTRY,CLOSED
2026-04-24,INFY,-2.49,1200.0,SHORT,1194.0,1199.97,1176.09,1176.09,13110,358,12752,TARGET,CLOSED
2026-04-27,AXISBANK,-3.12,1323.3,SHORT,1316.68,1323.26,1296.93,1316.6,53,358,-305,EOD EXIT,CLOSED
2026-04-28,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-04-29,MARUTI,1.64,13103.0,LONG,13168.51,13102.67,13366.04,13366.04,13037,358,12679,TARGET,CLOSED
2026-04-30,BAJFINANCE,1.65,945.4,LONG,950.13,945.38,964.38,945.38,-4370,358,-4728,SL HIT,CLOSED
2026-05-04,MARUTI,2.61,13662.0,LONG,13730.31,13661.66,13936.26,13661.66,-4325,358,-4683,SL HIT,CLOSED
2026-05-05,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-05-06,LT,-2.82,3960.0,SHORT,3940.2,3959.9,3881.1,3920.6,4351,358,3993,EOD EXIT,CLOSED
2026-05-07,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-05-08,AXISBANK,-1.69,1273.7,SHORT,1267.33,1273.67,1248.32,,0,0,0,NO ENTRY,CLOSED
2026-05-11,TITAN,-3.09,4369.7,SHORT,4347.85,4369.59,4282.63,4282.63,13109,358,12751,TARGET,CLOSED
2026-05-12,HCLTECH,-1.42,1178.0,SHORT,1172.11,1177.97,1154.53,1154.53,13115,358,12757,TARGET,CLOSED
2026-05-13,,,0,,,,,,0,0,0,NO GAP,CLOSED
2026-05-14,ADANIENT,2.32,2556.0,LONG,2568.78,2555.94,2607.31,2607.31,13100,358,12742,TARGET,CLOSED
2026-05-15,ADANIENT,2.42,2780.7,LONG,2794.6,2780.63,2836.52,2780.63,-4373,358,-4731,SL HIT,CLOSED
2026-05-18,TATASTEEL,-2.68,211.0,SHORT,209.94,210.99,206.79,207.36,10751,358,10393,EOD EXIT,CLOSED
2026-05-19,ADANIENT,3.01,2770.7,LONG,2784.55,2770.63,2826.32,,0,0,0,NO ENTRY,CLOSED
2026-05-20,BAJFINANCE,-1.57,913.45,SHORT,908.88,913.42,895.25,,0,0,0,NO ENTRY,CLOSED
2026-05-21,TATASTEEL,1.2,209.5,LONG,210.55,209.5,213.71,,0,0,0,NO ENTRY,CLOSED
2026-05-22,,,0,,,,,,0,0,0,NO GAP,CLOSED
